match_id,home_possession,away_possession,home_shots,away_shots,home_shots_on_target,away_shots_on_target,home_fouls,away_fouls,home_corners,away_corners
1,60.5,39.5,16.0,3.0,4.0,2.0,12.0,11.0,3.0,1.0
2,61.5,38.5,15.0,7.0,6.0,4.0,9.0,16.0,4.0,5.0
3,61.1,38.9,13.0,8.0,4.0,3.0,10.0,20.0,9.0,4.0
4,65.3,34.7,16.0,9.0,6.0,1.0,13.0,17.0,3.0,1.0
5,32.0,68.0,6.0,26.0,3.0,7.0,12.0,11.0,3.0,10.0
6,51.4,48.6,12.0,14.0,5.0,3.0,16.0,14.0,6.0,2.0
7,53.7,46.3,15.0,9.0,2.0,2.0,23.0,21.0,4.0,3.0
8,28.4,71.6,9.0,30.0,4.0,8.0,12.0,4.0,5.0,8.0
9,64.6,35.4,26.0,8.0,12.0,2.0,18.0,11.0,8.0,1.0
10,59.8,40.2,10.0,10.0,6.0,3.0,7.0,7.0,5.0,4.0
11,48.4,51.6,15.0,12.0,4.0,1.0,10.0,13.0,3.0,6.0
12,48.7,51.3,13.0,6.0,7.0,2.0,10.0,8.0,4.0,2.0
13,74.3,25.7,27.0,6.0,7.0,1.0,10.0,1.0,11.0,1.0
14,53.6,46.4,15.0,14.0,3.0,3.0,15.0,15.0,2.0,7.0
15,33.2,66.8,7.0,27.0,3.0,10.0,11.0,6.0,4.0,14.0
16,48.5,51.5,17.0,14.0,4.0,8.0,10.0,8.0,4.0,1.0
17,53.4,46.6,11.0,6.0,8.0,2.0,5.0,9.0,6.0,4.0
18,38.7,61.3,11.0,12.0,1.0,5.0,12.0,13.0,2.0,5.0
19,47.8,52.2,10.0,7.0,6.0,1.0,13.0,8.0,2.0,2.0
20,63.2,36.8,11.0,11.0,4.0,4.0,12.0,7.0,4.0,3.0
21,75.4,24.6,7.0,8.0,1.0,2.0,9.0,10.0,5.0,4.0
22,51.7,48.3,22.0,10.0,11.0,5.0,10.0,12.0,8.0,2.0
23,38.0,62.0,7.0,11.0,2.0,4.0,9.0,11.0,2.0,2.0
24,38.6,61.4,8.0,15.0,2.0,4.0,14.0,11.0,3.0,4.0
25,38.3,61.7,14.0,17.0,3.0,4.0,12.0,10.0,5.0,5.0
26,62.3,37.7,13.0,5.0,7.0,3.0,7.0,18.0,7.0,3.0
27,79.0,21.0,32.0,2.0,10.0,0.0,9.0,10.0,19.0,1.0
28,42.4,57.6,8.0,9.0,4.0,2.0,9.0,7.0,1.0,2.0
29,61.9,38.1,10.0,5.0,2.0,2.0,12.0,16.0,7.0,4.0
30,41.1,58.9,6.0,12.0,0.0,2.0,11.0,8.0,2.0,5.0
31,56.7,43.3,8.0,7.0,5.0,3.0,13.0,14.0,4.0,4.0
32,78.5,21.5,32.0,7.0,5.0,2.0,14.0,15.0,12.0,0.0
33,50.9,49.1,10.0,16.0,7.0,8.0,9.0,12.0,2.0,5.0
34,59.5,40.5,16.0,9.0,7.0,2.0,5.0,7.0,8.0,3.0
35,74.6,25.4,27.0,10.0,15.0,3.0,7.0,10.0,9.0,0.0
36,37.9,62.1,2.0,11.0,0.0,5.0,8.0,15.0,3.0,5.0
37,67.1,32.9,22.0,3.0,8.0,1.0,10.0,2.0,6.0,1.0
38,70.1,29.9,23.0,7.0,7.0,3.0,7.0,9.0,4.0,2.0
39,65.2,34.8,17.0,12.0,2.0,4.0,11.0,4.0,11.0,4.0
40,44.4,55.6,11.0,19.0,5.0,7.0,14.0,8.0,4.0,4.0
41,53.6,46.4,12.0,6.0,5.0,1.0,13.0,13.0,1.0,3.0
42,55.6,44.4,19.0,4.0,5.0,0.0,8.0,4.0,4.0,2.0
43,41.7,58.3,13.0,16.0,7.0,4.0,13.0,5.0,5.0,4.0
44,27.9,72.1,8.0,17.0,4.0,8.0,11.0,6.0,1.0,10.0
45,65.9,34.1,17.0,7.0,9.0,2.0,14.0,15.0,3.0,2.0
46,78.9,21.1,19.0,2.0,3.0,1.0,14.0,24.0,9.0,2.0
47,42.0,58.0,8.0,6.0,1.0,2.0,19.0,12.0,7.0,2.0
48,63.5,36.5,20.0,7.0,9.0,1.0,12.0,16.0,5.0,4.0
49,54.4,45.6,14.0,9.0,5.0,3.0,9.0,14.0,5.0,5.0
50,55.3,44.7,6.0,13.0,4.0,7.0,19.0,13.0,2.0,7.0
51,69.1,30.9,22.0,9.0,11.0,2.0,10.0,18.0,9.0,1.0
52,46.0,54.0,14.0,21.0,5.0,9.0,10.0,11.0,7.0,7.0
53,51.9,48.1,13.0,11.0,1.0,5.0,9.0,13.0,5.0,1.0
54,31.6,68.4,13.0,8.0,4.0,3.0,7.0,9.0,4.0,6.0
55,36.7,63.3,11.0,7.0,2.0,3.0,11.0,6.0,4.0,6.0
56,38.9,61.1,7.0,11.0,3.0,3.0,15.0,10.0,3.0,2.0
57,52.3,47.7,8.0,11.0,3.0,5.0,20.0,11.0,2.0,8.0
58,28.6,71.4,10.0,20.0,4.0,7.0,11.0,10.0,4.0,6.0
59,44.0,56.0,7.0,12.0,2.0,5.0,9.0,6.0,1.0,3.0
60,47.4,52.6,9.0,18.0,3.0,7.0,13.0,13.0,2.0,9.0
61,43.3,56.7,10.0,18.0,4.0,9.0,9.0,11.0,4.0,5.0
62,69.2,30.8,28.0,6.0,12.0,1.0,10.0,11.0,12.0,3.0
63,51.0,49.0,15.0,7.0,2.0,3.0,10.0,16.0,4.0,2.0
64,33.1,66.9,5.0,6.0,1.0,1.0,14.0,14.0,1.0,6.0
65,61.4,38.6,15.0,13.0,3.0,4.0,11.0,16.0,8.0,2.0
66,45.5,54.5,6.0,35.0,2.0,10.0,10.0,7.0,5.0,8.0
67,53.3,46.7,8.0,6.0,4.0,1.0,9.0,13.0,3.0,2.0
68,32.9,67.1,13.0,17.0,2.0,6.0,16.0,13.0,3.0,7.0
69,54.6,45.4,24.0,13.0,6.0,2.0,12.0,6.0,5.0,2.0
70,57.6,42.4,19.0,3.0,4.0,1.0,6.0,16.0,2.0,4.0
71,65.0,35.0,12.0,10.0,5.0,3.0,3.0,7.0,0.0,3.0
72,26.7,73.3,5.0,12.0,1.0,4.0,13.0,7.0,2.0,6.0
73,58.4,41.6,6.0,12.0,1.0,7.0,10.0,16.0,1.0,4.0
74,68.6,31.4,19.0,5.0,7.0,2.0,4.0,13.0,6.0,2.0
75,75.6,24.4,21.0,7.0,6.0,3.0,18.0,12.0,16.0,6.0
76,29.9,70.1,6.0,11.0,2.0,5.0,18.0,15.0,5.0,8.0
77,47.0,53.0,14.0,9.0,5.0,4.0,6.0,7.0,14.0,3.0
78,61.0,39.0,25.0,8.0,12.0,3.0,14.0,10.0,9.0,1.0
79,42.8,57.2,15.0,7.0,3.0,1.0,10.0,14.0,3.0,8.0
80,59.7,40.3,16.0,7.0,7.0,2.0,10.0,12.0,5.0,3.0
81,52.3,47.7,19.0,19.0,5.0,5.0,22.0,12.0,4.0,2.0
82,48.4,51.6,8.0,10.0,2.0,3.0,7.0,13.0,4.0,3.0
83,64.4,35.6,23.0,5.0,10.0,0.0,8.0,15.0,9.0,0.0
84,60.4,39.6,15.0,13.0,3.0,6.0,6.0,12.0,9.0,5.0
85,44.5,55.5,11.0,8.0,5.0,2.0,10.0,12.0,4.0,2.0
86,41.7,58.3,16.0,14.0,1.0,3.0,12.0,14.0,4.0,7.0
87,63.6,36.4,22.0,16.0,10.0,5.0,13.0,12.0,8.0,8.0
88,60.7,39.3,20.0,8.0,8.0,0.0,14.0,10.0,3.0,2.0
89,44.7,55.3,10.0,5.0,3.0,4.0,24.0,14.0,11.0,1.0
90,24.1,75.9,5.0,15.0,1.0,5.0,13.0,11.0,2.0,12.0
91,33.6,66.4,14.0,9.0,4.0,5.0,7.0,6.0,5.0,5.0
92,66.9,33.1,20.0,6.0,5.0,5.0,14.0,7.0,12.0,2.0
93,44.6,55.4,10.0,15.0,2.0,6.0,9.0,13.0,3.0,7.0
94,55.9,44.1,7.0,15.0,2.0,7.0,11.0,9.0,3.0,5.0
95,63.6,36.4,19.0,5.0,7.0,2.0,13.0,11.0,6.0,1.0
96,53.4,46.6,7.0,15.0,2.0,3.0,22.0,21.0,3.0,7.0
97,48.0,52.0,22.0,5.0,8.0,1.0,10.0,13.0,5.0,5.0
98,,,,,,,,,,
99,,,,,,,,,,
100,,,,,,,,,,
101,,,,,,,,,,
102,,,,,,,,,,
103,,,,,,,,,,
104,,,,,,,,,,
